Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
06/07/2021,102,9,16,20,20,11,19,14,10,6,2,0,53,49,0,28,2,37,17,2,16,0,0,0,1,4,2,1,1,0,3,6,0,5,0,4,0,0,0,1,0,0,4,5,2,3,1,0,12,4,0,5,0,8,3,0,0
04/08/2021,851,6,64,145,239,190,121,86,52,11,7,0,455,394,2,229,27,213,208,46,128,0,0,0,2,0,0,2,2,0,3,3,0,1,0,3,1,0,1,2,3,7,6,20,18,5,3,0,30,34,0,13,2,35,6,3,5
02/09/2021,413,7,35,49,112,75,60,52,39,13,13,0,212,197,4,87,16,98,100,17,95,0,0,0,0,2,1,1,3,0,4,3,0,1,1,3,2,0,0,0,1,3,3,9,6,8,5,0,13,22,0,10,0,14,9,2,0
08/05/2020,378,4,20,44,115,82,54,33,32,14,4,0,184,192,2,172,3,84,72,12,35,0,0,0,1,0,2,1,0,0,0,4,0,3,0,1,0,0,0,0,2,0,2,4,5,3,4,0,11,9,0,5,0,10,4,0,1
10/29/2020,1889,4,88,216,544,407,300,194,131,60,37,0,979,907,3,715,56,189,422,97,410,0,0,0,0,0,1,1,2,0,2,2,0,1,0,0,3,0,0,2,5,12,10,10,18,14,17,0,47,40,1,26,1,31,22,6,2
12/28/2020,1664,18,80,202,368,359,215,243,171,66,40,0,845,811,8,608,53,246,285,87,385,0,0,0,0,3,2,7,6,0,6,12,0,7,1,4,6,0,0,2,3,1,7,19,14,20,14,0,38,42,0,22,3,28,18,4,5
05/02/2021,227,14,50,32,46,52,24,28,29,11,5,0,129,97,1,34,9,99,32,17,36,0,0,1,0,4,2,4,3,0,7,7,0,0,0,11,3,0,0,1,5,6,4,11,14,6,3,0,28,22,0,9,3,29,5,2,2
10/03/2020,226,3,31,26,57,46,35,27,20,9,6,0,121,105,0,71,6,33,58,9,49,0,0,0,0,1,1,0,1,0,1,2,0,2,0,1,0,0,0,0,2,5,2,4,10,4,4,0,15,16,0,13,0,12,5,0,1
08/09/2021,440,3,,85,123,91,53,36,28,19,5,0,211,226,3,61,23,111,110,20,115,0,0,0,0,2,0,0,1,0,3,0,0,0,0,2,0,1,0,,,,,,,,,,,,,,,,,,
12/11/2020,1673,28,110,235,380,312,268,225,136,79,38,0,861,809,3,564,50,270,269,71,449,0,0,0,0,2,7,9,10,0,11,17,0,9,1,10,6,2,0,2,5,9,9,21,19,32,13,0,53,57,0,36,2,35,28,5,4
