Time,wht_CumulativeDeaths,wht_population,wht_deaths,wht_death_pctof_racepop,blk_CumulativeDeaths,blk_population,blk_deaths,blk_death_pctof_racepop,ltn_CumulativeDeaths,ltn_population,ltn_deaths,ltn_death_pctof_racepop,asn_CumulativeDeaths,asn_population,asn_deaths,asn_death_pctof_racepop,tier_status,tier_decrease,tier_increase
12-Jun-2020,11,354423,0,0,5,43782,0,0,9,133314,0.142857142857143,0.000107158395110148,25,298108,0.142857142857143,4.79212711021317e-05,5,0,0
13-Jun-2020,11,354423,0,0,5,43782,0,0,9,133314,0.142857142857143,0.000107158395110148,26,298108,0.142857142857143,4.79212711021317e-05,5,0,0
14-Jun-2020,11,354423,0,0,5,43782,0,0,9,133314,0.142857142857143,0.000107158395110148,26,298108,0.142857142857143,4.79212711021317e-05,5,0,0
15-Jun-2020,11,354423,0,0,5,43782,0,0,9,133314,0.285714285714286,0.000214316790220296,26,298108,0.142857142857143,4.79212711021317e-05,5,0,0
16-Jun-2020,11,354423,0,0,5,43782,0,0,9,133314,0.142857142857143,0.000107158395110148,26,298108,0.142857142857143,4.79212711021317e-05,5,0,0
17-Jun-2020,11,354423,0,0,5,43782,0,0,9,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
18-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
19-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
20-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
21-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
22-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0,0,26,298108,0,0,5,0,0
23-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0,0,26,298108,0,0,5,0,0
24-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0,0,26,298108,0,0,5,0,0
25-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0,0,26,298108,0,0,5,0,0
26-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0,0,26,298108,0,0,5,0,0
27-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0,0,26,298108,0,0,5,0,0
28-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0,0,26,298108,0,0,5,0,0
29-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0,0,26,298108,0,0,5,0,0
30-Jun-2020,11,354423,0,0,5,43782,0,0,10,133314,0,0,26,298108,0,0,5,0,0
01-Jul-2020,11,354423,0,0,5,43782,0,0,10,133314,0,0,26,298108,0,0,5,0,0
02-Jul-2020,11,354423,0,0,5,43782,0.142857142857143,0.000326291952987855,10,133314,0,0,26,298108,0,0,5,0,0
03-Jul-2020,11,354423,0,0,5,43782,0.142857142857143,0.000326291952987855,10,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
04-Jul-2020,11,354423,0,0,5,43782,0.142857142857143,0.000326291952987855,10,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
05-Jul-2020,11,354423,0,0,6,43782,0.142857142857143,0.000326291952987855,10,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
06-Jul-2020,11,354423,0,0,6,43782,0.142857142857143,0.000326291952987855,11,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
07-Jul-2020,11,354423,0,0,6,43782,0.142857142857143,0.000326291952987855,11,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
08-Jul-2020,11,354423,0,0,6,43782,0.142857142857143,0.000326291952987855,11,133314,0.142857142857143,0.000107158395110148,26,298108,0,0,5,0,0
09-Jul-2020,11,354423,0,0,6,43782,0,0,11,133314,0.142857142857143,0.000107158395110148,26,298108,0.142857142857143,4.79212711021317e-05,5,0,0
10-Jul-2020,11,354423,0,0,6,43782,0,0,11,133314,0.142857142857143,0.000107158395110148,26,298108,0.142857142857143,4.79212711021317e-05,5,0,0
11-Jul-2020,11,354423,0,0,6,43782,0,0,11,133314,0.285714285714286,0.000214316790220296,26,298108,0.142857142857143,4.79212711021317e-05,5,0,0
12-Jul-2020,11,354423,0.142857142857143,4.03069616975035e-05,6,43782,0,0,11,133314,0.285714285714286,0.000214316790220296,27,298108,0.142857142857143,4.79212711021317e-05,5,0,0
13-Jul-2020,11,354423,0.142857142857143,4.03069616975035e-05,6,43782,0.142857142857143,0.000326291952987855,12,133314,0.285714285714286,0.000214316790220296,27,298108,0.142857142857143,4.79212711021317e-05,5,0,0
14-Jul-2020,11,354423,0.142857142857143,4.03069616975035e-05,6,43782,0.142857142857143,0.000326291952987855,13,133314,0.285714285714286,0.000214316790220296,27,298108,0.285714285714286,9.58425422042634e-05,5,0,0
